country_name,country_iso2,country_iso3,lat,long,population,date,cases,deaths,tests,tests_units
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-16,8,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-17,29,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-18,50,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-19,79,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-20,94,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-21,110,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-22,135,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-23,158,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-24,162,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-25,189,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-26,217,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-27,238,0,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-28,238,0,2926,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-29,259,0,3126,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-30,295,1,3425,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-03-31,324,1,3819,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-01,330,1,4108,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-02,341,2,4464,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-03,359,4,4786,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-04,371,4,5063,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-05,390,5,5208,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-06,407,6,5385,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-07,411,6,5727,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-08,417,7,6175,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-09,426,7,6856,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-10,433,7,7496,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-11,446,7,8114,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-12,453,7,8774,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-13,465,8,9236,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-14,472,8,9929,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-15,483,8,10448,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-16,493,9,11239,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-17,502,9,11749,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-18,508,9,12478,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-19,517,9,12826,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-20,528,10,0,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-21,535,10,13396,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-22,543,12,13923,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-23,549,12,14532,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-24,557,12,15142,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-25,563,12,15834,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-26,596,14,16496,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-27,606,15,17063,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-28,620,15,17505,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-29,625,15,18140,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-04-30,630,15,19016,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-01,643,17,19747,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-02,648,17,20554,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-03,652,17,21164,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-04,655,17,21939,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-05,657,17,22805,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-06,670,17,23811,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-07,673,17,24656,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-08,684,17,25698,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-09,694,18,26838,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-10,702,18,27461,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-11,707,19,28697,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-12,711,19,0,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-13,717,19,29500,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-14,719,19,30209,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-15,724,19,31209,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-16,732,19,32225,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-17,733,19,33036,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-18,734,20,33861,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-19,737,20,34384,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-20,738,20,34794,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-21,746,20,0,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-22,749,20,35537,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-23,753,20,37178,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-24,764,22,0,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-25,769,22,38146,tests performed
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-26,787,22,0,
Uruguay,UY,URY,-32.522779,-55.765835,3473727,2020-05-27,789,22,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-16,6,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-17,8,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-18,16,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-19,23,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-20,23,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-21,33,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-22,33,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-23,46,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-24,49,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-25,55,0,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-03-26,65,0,0,
